BuildingName,BuildingAddress,BuildingType,BuildingSize,PublicSector,YearObtainedTOP_CSC,GreenMarkYearofAward,GreenMarkRating,GreenMarkStatus,GrossFloorArea_M2,PercentageOfAirconditionedFloorArea,AverageMonthlyBuildingOccupancyRate_percentage,NumberOfHotelRooms,TypeOfAirconditioningSystem,AgeOfNewestChiller_Airconditioner,CentralisedAirconditioningPlantEfficiency_kWRT,YearOfLastChillerPlantAuditHealthCheck,PercentageUsageOfLED,InstallationOfSolarPV,EUI2015_kWhM2Yr,EUI2016_kWhM2Yr,EUI2017_kWhM2Yr,EUIPerformanceComparedToPreviousYear,Benchmarking_EUI_Quartile,VoluntaryDisclosure,BuildingAge,TotalEnergy2017
,"2 LENGKOK BAHRU, SINGAPORE 159047",Office Building,Small,Yes,2004,,Not Certified,No,5199,81,90,,"Others (Split Units, Unitary Systems)",4,,,20,N,218.6,218.7,215.1,Improved,3rd Quartile,Y,14,1118304.9
,"15 LORONG 22 GEYLANG, SINGAPORE 398673",Hotel,Small,No,1993,,Not Certified,No,471,100,80,16,"Others (Split Units, Unitary Systems)",16,,,100,N,227.7,209,188.2,Improved,2nd Quartile,Y,25,88642.2
,"1 LORONG 14 GEYLANG, SINGAPORE 398913",Hotel,Small,No,1998,,Not Certified,No,430,70,70,18,"Others (Split Units, Unitary Systems)",18,,,100,N,224,204.8,195.2,Improved,2nd Quartile,Y,20,83936
JAYLEEN 1918 HOTEL,"42 CARPENTER STREET, SINGAPORE 059921",Hotel,Small,No,2010,,Not Certified,No,1379,97,65,41,"Others (Split Units, Unitary Systems)",1,,,13,N,253.6,255,211,Improved,2nd Quartile,Y,8,290969
PARKWAY PARADE,"80 MARINE PARADE ROAD, SINGAPORE 449269",Office Building,Large,No,1983,2016,Platinum,Yes,99012,79,100,,Water Cooled Chilled Water Plant,2,0.7,2013,60,N,329.9,332.8,325.6,Improved,Bottom Quartile,Y,35,32238307.200000003
WANGZ HOTEL,"231 OUTRAM ROAD, SINGAPORE 169040",Hotel,Small,No,2011,,Not Certified,No,2324,86,76,41,"Others (Split Units, Unitary Systems)",7,,,55,N,391.3,415.4,400,Improved,Bottom Quartile,Y,7,929600
,"759 MOUNTBATTEN ROAD, SINGAPORE 437761",Hotel,Small,No,1950,,Not Certified,No,1100,82,70,41,"Others (Split Units, Unitary Systems)",6,,,20,N,176,162.4,150.9,Improved,Top Quartile,Y,68,165990
,"33 LORONG 12 GEYLANG, SINGAPORE 399007",Retail Building,Small,No,1998,,Not Certified,No,400,100,70,33,"Others (Split Units, Unitary Systems)",5,,,0,N,370.3,372.1,343.5,Improved,2nd Quartile,Y,20,137400
,"1 LORONG 10 GEYLANG, SINGAPORE 399035",Hotel,Small,No,1998,,Not Certified,No,555,100,70,25,"Others (Split Units, Unitary Systems)",0,,,0,N,245.3,313.6,268.7,Improved,3rd Quartile,Y,20,149128.5
PARLIAMENT HOUSE COMPLEX,"1 PARLIAMENT PLACE, SINGAPORE 178880",Office Building,Large,Yes,1999,2015,Platinum,Yes,19765,82,60,,Water Cooled Chilled Water Plant,3,0.67,2017,21,N,130.4,134.3,127.2,Improved,Top Quartile,Y,19,2514108
BROADWAY HOTEL,"195 SERANGOON ROAD, SINGAPORE 218067",Hotel,Small,No,1969,,Not Certified,No,2162,100,100,65,"Others (Split Units, Unitary Systems)",3,,,80,N,228.4,247.6,247.1,Improved,3rd Quartile,Y,49,534230.2
,,Office Building,Large,,,,,No,,,,,,,,,,,182.7,178.1,164.4,Improved,2nd Quartile,N,,
,"15 LORONG 15 GEYLANG, SINGAPORE 388607",Hotel,Small,No,1991,,Not Certified,No,1376,100,60,80,"Others (Split Units, Unitary Systems)",6,,,0,N,227.3,218.8,193.1,Improved,2nd Quartile,Y,27,265705.6
GATEWAY EAST,"152 BEACH ROAD, SINGAPORE 189721",Office Building,Large,No,1990,,Not Certified,No,105307,67,90,,Water Cooled Chilled Water Plant,7,0.55,2016,10,N,209,212.2,200.8,Improved,3rd Quartile,Y,28,21145645.6
,"9 JALAN BESAR, SINGAPORE 208786",Hotel,Small,No,2010,,Not Certified,No,760,79,50,22,"Others (Split Units, Unitary Systems)",1,,,0,N,317.5,208.1,179.8,Improved,Top Quartile,Y,8,136648
CHYE SING BUILDING,"87 BEACH ROAD, SINGAPORE 189695",Office Building,Small,No,1983,,Not Certified,No,2206,79,96,,"Others (Split Units, Unitary Systems)",6,,,0,N,207.7,205.4,184.3,Improved,2nd Quartile,Y,35,406565.80000000005
SIXTH AVENUE CENTRE,"805 BUKIT TIMAH ROAD, SINGAPORE 279883",Retail Building,Small,No,1988,,Not Certified,No,1323,99,100,,"Others (Split Units, Unitary Systems)",0,,,0,N,423.4,445.6,403.1,Improved,3rd Quartile,Y,30,533301.3
NOSTALGIA HOTEL,"77 TIONG BAHRU ROAD, SINGAPORE 168727",Hotel,Small,No,2009,,Not Certified,No,1244,83,75,50,"Others (Split Units, Unitary Systems)",8,,,10,N,445.5,421.7,422.4,Worsened,Bottom Quartile,Y,9,525465.6
CROWN CENTRE,"557 BUKIT TIMAH ROAD, SINGAPORE 269694",Retail Building,Small,No,1990,,Not Certified,No,2250,100,100,,"Others (Split Units, Unitary Systems)",5,,,95,N,442.3,472.2,444.7,Improved,3rd Quartile,Y,28,1000575
,"19 LORONG 22 GEYLANG, SINGAPORE 398676",Hotel,Small,No,1999,,Not Certified,No,1736,100,50,97,"Others (Split Units, Unitary Systems)",3,,,100,N,289.3,308.4,288.1,Improved,3rd Quartile,Y,19,500141.60000000003
GRACE GLOBAL RAFFLES,"137 MARKET STREET, SINGAPORE 048943",Office Building,Small,No,2011,2009,GoldPlus,Yes,5030,80,100,,"Others (Split Units, Unitary Systems)",6,,,5,N,164.5,169.3,171.2,Worsened,2nd Quartile,Y,7,861136
,"36 TEMPLE STREET, SINGAPORE 058581",Hotel,Small,No,1991,,Not Certified,No,960,73,74,42,"Others (Split Units, Unitary Systems)",4,,,25,N,327.1,321.3,335.6,Worsened,3rd Quartile,Y,27,322176
LIAN HUAT BUILDING,"163 TRAS STREET, SINGAPORE 079024",Office Building,Small,No,1974,,Not Certified,No,3225,71,100,,"Others (Split Units, Unitary Systems)",3,,,5,N,106.8,115.7,105.9,Improved,Top Quartile,Y,44,341527.5
THE GLOBE,"100 CECIL STREET, SINGAPORE 069532",Office Building,Small,No,1993,,Not Certified,No,5824,70,77,,Air Cooled Chilled Water Plant,23,,,30,N,200.7,181.7,185.6,Worsened,2nd Quartile,Y,25,1080934.4
,"380 RACE COURSE ROAD, SINGAPORE 218702",Hotel,Small,No,2001,,Not Certified,No,1490,100,60,55,"Others (Split Units, Unitary Systems)",4,,,100,N,118.9,107.7,102.5,Improved,Top Quartile,Y,17,152725
,"163 KITCHENER ROAD, SINGAPORE 208538",Hotel,Small,No,2000,,Not Certified,No,1909,90,80,73,Water Cooled Packaged Unit,,,,0,N,174.6,171.4,174.6,Worsened,Top Quartile,Y,18,333311.39999999997
YEE LAN COURT,"22 BUKIT PASOH ROAD, SINGAPORE 089836",Office Building,Small,No,1996,,Not Certified,No,4331,68,80,,"Others (Split Units, Unitary Systems)",1,,,0,N,65,71.4,78.7,Worsened,Top Quartile,Y,22,340849.7
LEUNG KAI FOOK BUILDING,"84 SOUTH BRIDGE ROAD, SINGAPORE 058714",Office Building,Small,No,1977,,Not Certified,No,1086,69,100,,"Others (Split Units, Unitary Systems)",3,,,0,N,91.4,90.2,86,Improved,Top Quartile,Y,41,93396
VILLAGE HOTEL BUGIS,"390 VICTORIA STREET, SINGAPORE 188061",Hotel,Large,No,1985,,Not Certified,No,30820,96,97,393,Water Cooled Chilled Water Plant,18,,,0,N,312.4,321.2,323.4,Worsened,Bottom Quartile,Y,33,9967188
GOLDEN CASTLE BUILDING,"80 SOUTH BRIDGE ROAD, SINGAPORE 058710",Office Building,Small,No,1976,,Not Certified,No,291,89,100,,"Others (Split Units, Unitary Systems)",11,,,0,N,740.6,904.9,895.5,Improved,Bottom Quartile,Y,42,260590.5
WONG SHEE FUN BUILDING,"74 SOUTH BRIDGE ROAD, SINGAPORE 058704",Office Building,Small,No,1997,,Not Certified,No,337,100,100,,"Others (Split Units, Unitary Systems)",5,,,0,N,154.7,206.2,169.7,Improved,2nd Quartile,Y,21,57188.899999999994
HIGH STREET PLAZA,"77 HIGH STREET, SINGAPORE 179433",Office Building,Small,No,1975,,Not Certified,No,10418,100,90,,Water Cooled Chilled Water Plant,38,0.8,2017,90,N,152.9,147.6,158.4,Worsened,2nd Quartile,Y,43,1650211.2
SYNAPSE,"3 BIOPOLIS DRIVE, SINGAPORE 138623",Office Building,Large,No,2011,2011,Gold,Yes,42976,83,75,,District Cooling Plant,11,,,5,N,129.2,147.9,164.3,Worsened,2nd Quartile,Y,7,7060956.800000001
SIAKSON BUILDING,"3 MILLER STREET, SINGAPORE 188899",Office Building,Small,No,1963,,Not Certified,No,465,19,10,,"Others (Split Units, Unitary Systems)",1,,,100,N,65.5,78.8,124.7,Worsened,Top Quartile,Y,55,57985.5
VIVO CITY,"1 HARBOURFRONT WALK, SINGAPORE 098585",Retail Building,Large,No,2006,2016,Gold,Yes,139853,95,98,,Water Cooled Chilled Water Plant,7,0.79,2016,0,N,519.5,520.8,531.4,Worsened,Bottom Quartile,Y,12,74317884.2
CAMERON HOTEL,"393F UPPER CHANGI ROAD, SINGAPORE 486917",Hotel,Small,No,1956,,Not Certified,No,270,100,65,19,"Others (Split Units, Unitary Systems)",9,,,0,N,359.5,337.4,290.6,Improved,3rd Quartile,Y,62,78462
POH HENG BUILDING,"28 NORTH CANAL ROAD, SINGAPORE 059284",Office Building,Small,No,2004,,Not Certified,No,1865,62,100,,"Others (Split Units, Unitary Systems)",5,,,5,N,227,228.1,220.5,Improved,3rd Quartile,Y,14,411232.5
ASCOTT SINGAPORE RAFFLES PLACE,"2 FINLAYSON GREEN, SINGAPORE 049247",Hotel,Large,No,2008,2008,Certified,Yes,16105,93,90,146,"Others (Split Units, Unitary Systems)",8,,,15,N,178,183.1,205.7,Worsened,Top Quartile,Y,10,3312798.5
CITY PLAZA,"810 GEYLANG ROAD, SINGAPORE 409286",Retail Building,Large,No,1981,,Not Certified,No,33782,71,93,,Water Cooled Chilled Water Plant,9,,,97,N,185.7,175.4,178.3,Worsened,Top Quartile,Y,37,6023330.600000001
MERITON HOTEL,"43 JALAN BESAR, SINGAPORE 208804",Hotel,Small,No,1953,,Not Certified,No,817,59,65,32,"Others (Split Units, Unitary Systems)",10,,,100,N,465.2,395.1,429.3,Worsened,Bottom Quartile,Y,65,350738.10000000003
HOTEL 165,"165 KITCHENER ROAD, SINGAPORE 208532",Hotel,Small,No,2003,,Not Certified,No,2531,36,85,68,Air Cooled Chilled Water Plant,22,,,100,N,300.1,292.8,273.2,Improved,3rd Quartile,Y,15,691469.2
ALFA CENTRE,"99 BUKIT TIMAH ROAD, SINGAPORE 229835",Office Building,Small,No,1994,,Not Certified,No,7526,100,95,,Water Cooled Chilled Water Plant,21,1.03,2009,25,N,250.6,256,252.6,Improved,3rd Quartile,Y,24,1901067.5999999999
BEAUTY WORLD CENTRE,"144 UPPER BUKIT TIMAH ROAD, SINGAPORE 588177",Retail Building,Large,No,1979,,Not Certified,No,42262,43,97,,Water Cooled Chilled Water Plant,13,1,2013,0,N,153.8,160.7,163,Worsened,Top Quartile,Y,39,6888706
TUV SUD PSB BUILDING,"1 SCIENCE PARK DRIVE, SINGAPORE 118221",Office Building,Large,No,1989,,Not Certified,No,32079,63,100,,Water Cooled Chilled Water Plant,13,0.83,2014,33,N,323.5,340.4,320.2,Improved,Bottom Quartile,Y,29,10271695.799999999
GREAT EASTERN CENTRE,"1 PICKERING STREET, SINGAPORE 048659",Retail Building,Large,No,2000,2010,Certified,Yes,43006,82,94,,Water Cooled Chilled Water Plant,14,,,0,N,198,201.8,197.9,Improved,Top Quartile,Y,18,8510887.4
,"180 ORCHARD ROAD, SINGAPORE 238846",Retail Building,Small,No,1994,,Not Certified,No,1715,80,100,,"Others (Split Units, Unitary Systems)",20,,,25,N,536.5,560.6,405.8,Improved,3rd Quartile,Y,24,695947
OLD HILL STREET POLICE STATION,"140 HILL STREET, SINGAPORE 179369",Office Building,Large,Yes,1999,2017,Platinum,Yes,26137,93,95,,Air Cooled Chilled Water Plant,16,,,40,N,230.4,234.9,209,Improved,3rd Quartile,Y,19,5462633
MINISTRY OF MANPOWER SERVICES CENTRE,"1500 BENDEMEER ROAD, SINGAPORE 339946",Office Building,Large,Yes,2012,2016,Platinum,Yes,27069,60,100,,Water Cooled Chilled Water Plant,3,0.54,2015,95,Y,137.2,135,132.7,Improved,Top Quartile,Y,6,3592056.3
MINISTRY OF MANPOWER BUILDING,"18 HAVELOCK ROAD, SINGAPORE 059764",Office Building,Large,Yes,1990,2014,Platinum,Yes,32034,82,80,,Water Cooled Chilled Water Plant,7,0.65,2014,90,N,139.6,132.9,134.4,Worsened,Top Quartile,Y,28,4305369.600000001
SINGAPORE MARRIOTT TANG PLAZA HOTEL,"320 ORCHARD ROAD, SINGAPORE 238865",Hotel,Large,No,1982,2014,Gold,Yes,76504,92,84,392,Water Cooled Chilled Water Plant,5,0.54,2015,80,N,248.5,261.2,251.9,Improved,2nd Quartile,Y,36,19271357.6
HOTEL ROYAL @ QUEENS,"12 QUEEN STREET, SINGAPORE 188553",Hotel,Large,No,1986,2016,Gold,Yes,12565,92,80,231,Water Cooled Chilled Water Plant,8,1.24,2013,0,N,258.8,248.8,233.4,Improved,2nd Quartile,Y,32,2932671
,"301 SERANGOON ROAD, SINGAPORE 218224",Hotel,Small,No,1995,,Not Certified,No,2842,92,70,90,Air Cooled Chilled Water Plant,22,,,2,N,352.4,362,353.4,Improved,Bottom Quartile,Y,23,1004362.7999999999
PERAK COURT,"25A PERAK ROAD, SINGAPORE 208136",Hotel,Small,No,2008,,Not Certified,No,834,96,65,22,"Others (Split Units, Unitary Systems)",3,,,38,N,187.2,187.5,181.4,Improved,2nd Quartile,Y,10,151287.6
,"50 TIONG BAHRU ROAD, SINGAPORE 168733",Hotel,Large,No,2007,,Not Certified,No,10194,100,70,274,"Others (Split Units, Unitary Systems)",9,,,90,N,219.5,265.7,246,Improved,2nd Quartile,Y,11,2507724
PINNACLE HOTEL,"270 JALAN BESAR, SINGAPORE 209019",Hotel,Small,No,2010,,Not Certified,No,3835,95,70,127,"Others (Split Units, Unitary Systems)",24,,,0,N,214.4,208.1,211,Worsened,2nd Quartile,Y,8,809185
KECK SENG TOWER,"133 CECIL STREET, SINGAPORE 069535",Office Building,Large,No,1985,,Not Certified,No,16122,71,91,,Water Cooled Chilled Water Plant,7,0.88,2017,15,N,161.7,162.6,147,Improved,Top Quartile,Y,33,2369934
STRAND HOTEL,"25 BENCOOLEN STREET, SINGAPORE 189619",Hotel,Small,No,1985,,Not Certified,No,4268,97,75,130,Water Cooled Chilled Water Plant,13,,,5,N,366.5,367.9,366.3,Improved,Bottom Quartile,Y,33,1563368.4000000001
,"240 JALAN BESAR, SINGAPORE 208913",Hotel,Small,No,1997,,Not Certified,No,1504,26,60,42,"Others (Split Units, Unitary Systems)",6,,,5,N,249.6,248.9,243.3,Improved,2nd Quartile,Y,21,365923.2
ONE RAFFLES LINK,"1 RAFFLES LINK, SINGAPORE 039393",Office Building,Large,No,1999,2014,GoldPlus,Yes,30461,83,97,,Water Cooled Chilled Water Plant,16,0.68,2016,80,N,527.2,517.9,494.3,Improved,Bottom Quartile,Y,19,15056872.3
SCOTTSWALK,"25 SCOTTS ROAD, SINGAPORE 228220",Mixed Development,,No,1972,2013,Gold,Yes,47107,100,100,511,Water Cooled Chilled Water Plant,6,0.77,2010,20,N,280.9,282,279.5,Improved,3rd Quartile,Y,46,13166406.5
JIT POH BUILDING,"19 KEPPEL ROAD, SINGAPORE 089058",Office Building,Small,No,1975,,Not Certified,No,7200,100,90,,Water Cooled Chilled Water Plant,10,,,41,N,196.9,140.6,133,Improved,Top Quartile,Y,43,957600
,"37 LORONG 8 GEYLANG, SINGAPORE 399099",Hotel,Small,No,1994,,Not Certified,No,604,69,65,27,"Others (Split Units, Unitary Systems)",6,,,0,N,133,69.4,96.1,Worsened,Top Quartile,Y,24,58044.399999999994
HOME SUITE VIEW HOTEL,"12 LORONG 12 GEYLANG, SINGAPORE 398993",Hotel,Small,No,2005,,Not Certified,No,4000,90,65,184,Air Cooled Chilled Water Plant,17,,,0,N,210.2,123.5,110.5,Improved,Top Quartile,Y,13,442e3
THE CONCOURSE,"300 BEACH ROAD, SINGAPORE 199555",Office Building,Large,No,1992,2013,Platinum,Yes,62392,93,90,,Water Cooled Chilled Water Plant,3,0.65,2011,40,N,125.4,126.3,133.5,Worsened,Top Quartile,Y,26,8329332
,"60 LORONG 8 GEYLANG, SINGAPORE 399120",Hotel,Small,No,1991,,Not Certified,No,702,85,60,38,"Others (Split Units, Unitary Systems)",3,,,0,N,186.7,168.2,142.3,Improved,Top Quartile,Y,27,99894.6
,"21 LORONG 22 GEYLANG, SINGAPORE 398678",Hotel,Small,No,1996,,Not Certified,No,1400,60,60,47,"Others (Split Units, Unitary Systems)",11,,,0,N,159.6,156.3,152.2,Improved,Top Quartile,Y,22,213079.99999999997
KIM TIAN (STAR) HOTEL,"4 LORONG 6 GEYLANG, SINGAPORE 399166",Hotel,Small,No,1999,,Not Certified,No,860,70,60,43,"Others (Split Units, Unitary Systems)",7,,,0,N,244.9,212.1,191.2,Improved,2nd Quartile,Y,19,164432
KIM TIAN HOTEL (HAN),"29 LORONG 4 GEYLANG, SINGAPORE 399281",Hotel,Small,No,1998,,Not Certified,No,880,68,60,48,"Others (Split Units, Unitary Systems)",4,,,0,N,263,260.7,234.7,Improved,2nd Quartile,Y,20,206536
,"25 LORONG 18 GEYLANG, SINGAPORE 398806",Hotel,Small,No,1997,,Not Certified,No,1000,65,40,42,"Others (Split Units, Unitary Systems)",10,,,5,N,101.8,99.9,92.1,Improved,Top Quartile,Y,21,92100
GSM BUILDING,"141 MIDDLE ROAD, SINGAPORE 188976",Office Building,Small,No,1984,,Not Certified,No,4192,100,100,,Water Cooled Chilled Water Plant,10,,,0,N,235.9,207.6,195.2,Improved,3rd Quartile,Y,34,818278.3999999999
,,Mixed Development,,,,,,No,,,,,,,,,,,304,340.9,321.9,Improved,3rd Quartile,N,,
MAXWELL CHAMBERS,"32 MAXWELL ROAD, SINGAPORE 069115",Office Building,Small,No,2009,,Not Certified,No,7040,51,75,1,"Others (Split Units, Unitary Systems)",7,,,52,N,203.4,235.6,247.8,Worsened,3rd Quartile,Y,9,1744512
KIM HOE CENTRE,"23 KELANTAN LANE, SINGAPORE 208642",Mixed Development,,No,2002,,Not Certified,No,634,97,100,,"Others (Split Units, Unitary Systems)",4,,,0,N,339.7,359.1,357.4,Improved,Bottom Quartile,Y,16,226591.59999999998
KIM HOE POINT,"35 KELANTAN LANE, SINGAPORE 208652",Office Building,Small,No,1998,,Not Certified,No,475,76,95,,"Others (Split Units, Unitary Systems)",9,,,0,N,399.3,413.3,397.7,Improved,Bottom Quartile,Y,20,188907.5
EFG BANK BUILDING,"25 NORTH BRIDGE ROAD, SINGAPORE 179104",Office Building,Small,No,2009,,Not Certified,No,6521,89,100,,"Others (Split Units, Unitary Systems)",8,,,70,N,228.2,250.2,272.1,Worsened,Bottom Quartile,Y,9,1774364.1
HOUGANG GREEN SHOPPING MALL,"21 HOUGANG STREET 51, SINGAPORE 538719",Retail Building,Small,No,1996,,Not Certified,No,9899,24,100,,"Others (Split Units, Unitary Systems)",5,,,0,N,452.9,446.8,442.1,Improved,3rd Quartile,Y,22,4376347.9
,,Office Building,Small,,,,,No,,,,,,,,,,,124.9,110.1,79.3,Improved,Top Quartile,N,,
,,Office Building,Small,,,,,No,,,,,,,,,,,97.2,106.8,107.3,Worsened,Top Quartile,N,,
YUE HWA (NAM TIN) BUILDING,"70 EU TONG SEN STREET, SINGAPORE 059805",Retail Building,Small,No,1996,,Not Certified,No,4993,86,100,,Air Cooled Chilled Water Plant,3,,,20,N,388.8,371.6,375,Worsened,3rd Quartile,Y,22,1872375
AIA ALEXANDRA,"371 ALEXANDRA ROAD, SINGAPORE 159963",Office Building,Large,No,1994,2017,Certified,Yes,17828,82,100,,Air Cooled Chilled Water Plant,3,0.94,2017,15,N,293.4,286.6,266,Improved,Bottom Quartile,Y,24,4742248
,"1 KEONG SAIK ROAD, SINGAPORE 089109",Office Building,Small,No,1992,,Not Certified,No,3181,77,100,,"Others (Split Units, Unitary Systems)",3,,,35,N,180,253.6,295.8,Worsened,Bottom Quartile,Y,26,940939.8
,,Office Building,Large,,,,,Yes,,,,,,,,,,,225.5,219,222.1,Worsened,3rd Quartile,N,,
IMM BUILDING,"2 JURONG EAST STREET 21, SINGAPORE 609601",Mixed Development,,No,1990,2017,GoldPlus,Yes,132527,67,94,,Water Cooled Chilled Water Plant,6,0.65,,30,N,228.3,241.3,240.8,Improved,2nd Quartile,Y,28,31912501.6
,,Healthcare Facility,,,,,,No,,,,,,,,,,,169.1,189.5,181,Improved,,,,
ST. ANDREWS CENTRE,"250 TANJONG PAGAR ROAD, SINGAPORE 088541",Office Building,Small,No,2000,,Not Certified,No,3722,67,100,,"Others (Split Units, Unitary Systems)",4,,,0,N,177.3,163.6,147.2,Improved,2nd Quartile,Y,18,547878.3999999999
HQ SINGAPORE CIVIL DEFENCE FORCE,"91 UBI AVENUE 4, SINGAPORE 408827",Office Building,Large,Yes,2002,,Not Certified,No,49327,60,90,,Water Cooled Chilled Water Plant,15,,,0,N,167.6,171.4,187.4,Worsened,2nd Quartile,Y,16,9243879.8
,"101 JALAN BAHAR, SINGAPORE 649734",Office Building,Large,Yes,1999,,Not Certified,No,40312,34,78,,Water Cooled Chilled Water Plant,18,,,0,N,125.6,127.8,121.9,Improved,Top Quartile,Y,19,4914032.8
,,Retail Building,Small,,,,,No,,,,,,,,,,,712,702.4,697.4,Improved,Bottom Quartile,N,,
600 @ TOA PAYOH,"600 LORONG 4 TOA PAYOH, SINGAPORE 319515",Retail Building,Small,No,2003,,Not Certified,No,3661,75,95,,"Others (Split Units, Unitary Systems)",7,,,0,N,444.6,474.3,444.2,Improved,3rd Quartile,Y,15,1626216.2
PRAWN WORLD BUILDING,"473 BALESTIER ROAD, SINGAPORE 329843",Hotel,Small,No,1980,,Not Certified,No,963,79,67,42,Air Cooled Chilled Water Plant,3,,,0,N,190.1,193.4,158,Improved,Top Quartile,Y,38,152154
,,Office Building,Small,,,,,No,,,,,,,,,,,925.8,1020.9,1004.6,Improved,Bottom Quartile,N,,
BUKIT TIMAH PLAZA,"1 JALAN ANAK BUKIT, SINGAPORE 588996",Retail Building,Large,No,1982,2012,Gold,Yes,25772,93,100,,Water Cooled Chilled Water Plant,4,0.68,2016,80,N,401.2,406.6,380,Improved,2nd Quartile,Y,36,9793360
FAR EAST PLAZA,"14 SCOTTS ROAD, SINGAPORE 228213",Retail Building,Large,No,1983,2014,GoldPlus,Yes,40749,95,89,,Water Cooled Chilled Water Plant,2,0.63,2017,100,N,365.5,346.1,328.9,Improved,2nd Quartile,Y,35,13402346.1
MMI BUILDING,"72 SOUTH BRIDGE ROAD, SINGAPORE 058702",Office Building,Small,No,2007,,Not Certified,No,578,62,85,,"Others (Split Units, Unitary Systems)",0,,,0,N,176.6,167.1,154.9,Improved,2nd Quartile,Y,11,89532.2
,,Hotel,Small,,,,,No,,,,,,,,,,,172.2,162.6,140.1,Improved,Top Quartile,N,,
MINISTRY OF FOREIGN AFFAIRS BUILDING,"1 SHERWOOD ROAD, SINGAPORE 248163",Office Building,Large,Yes,2003,2014,Gold,Yes,35533,75,90,,Water Cooled Chilled Water Plant,1,0.59,2016,85,N,260.3,248.8,219.8,Improved,3rd Quartile,Y,15,7810153.4
THE GRANDPLUS,"163 GEYLANG ROAD, SINGAPORE 389240",Office Building,Small,No,2005,,Not Certified,No,1174,76,100,,"Others (Split Units, Unitary Systems)",1,,,20,N,330.7,342.6,316.4,Improved,Bottom Quartile,Y,13,371453.6
TAN CHONG TOWER,"15 QUEEN STREET, SINGAPORE 188537",Office Building,Small,No,1980,,Not Certified,No,10471,69,85,,"Others (Split Units, Unitary Systems)",6,,,50,N,231.4,225.7,249.8,Worsened,3rd Quartile,Y,38,2615655.8000000003
,,Mixed Development,,,,,,No,,,,,,,,,,,237.5,236.8,224.2,Improved,2nd Quartile,N,,
PUBLIC MANSION,"432 BALESTIER ROAD, SINGAPORE 329813",Mixed Development,,No,1974,,Not Certified,No,11880,64,100,,"Others (Split Units, Unitary Systems)",6,,,0,N,70.8,71.9,69.7,Improved,Top Quartile,Y,44,828036
